objectid,parentid,cmacno,nmmno,filename,title,datedisplay,datesort,datemade,datemadecirca,datemadeend,datelostdisplay,datelostsort,datelost,datelostcirca,datelostend,datelostspeculate,datefounddisplay,datefound,datefoundend,datefoundspeculate,shipwreck,shipwreckname,shipwreckdatedisplay,shipwreckdate,shipwreckdatecirca,shipwreckdescription,shipwreckurl,recoverylat,recoverylong,knownlocationother,knownlocationlat,knownlocationlong,knownlocationprivate,knownlocationpublic,knownlocationpublicurl,knownlocationpublicobject,fragments,watersstimsontypeabrvicon,watersstimsontype,taxonomy,diameter,thickness,thicknesstop,thicknessbottom,weight,scale,maker,makersign,makerfamily,condition,nationalitycard,nationality,markscategories,marksdescription,critiquesofauthenticity,notes,referencespublic,referencespersonalcomm,latitude,longitude,format,type,source,identifier,language,rights,rightsstatement
cmacno001,,1,1,,Palermo,1540,1540,1540,,,,,,,,,,,,,no,,,,,,,38.11166696,13.35321063,"public collection, possibly missing",40.84378705,14.24078995,,"National Museum of San Martino, Naples, Italy",,,,1a.svg,Ia1,"wheel type with base ballast, triangular base ballast",200,15,15,,,0-90-0,unknown,,,good,Portuguese,Portuguese?,quintuple dots cross; date,Quintuple dots cross on the ends of the horizontal posts. Date: 1540.,,"The five dots forming a cross seem to be typical of Portuguese astrolabes. This specimen was originally in the Astronomical Observatory at Palermo, Sicily, Italy, and was offered in 1935 to the Museo Nazionale di Palermo. Disapeared in the WW2.","Stimson, 1988",,,,record,,,,,,
cmacno002,,2,2,,Dundee,1555,1555,1555,,,,,,,,,,,,,no,,,,,,,,,public collection,56.46269125,-2.971049545,,"The McManus Art Gallery & Museum, Dundee, Scotland",https://www.mcmanus.co.uk/,,,1a.svg,Ia6,"wheel type with base ballast, complex base ballast",222,16,16,,2900,90-0-90,unknown,,,fine,Portuguese,Portuguese?,quintuple dots cross; date,Quintuple dots cross. Date: 1555. Text: On the reverse ANDREW SMYTON 1688. Mark: X on alidade.,,"Belongued to Andrew Smyton, ship master. Rev. Dr. Dick (1774-1857) gave it to the Dundee Watt Institution. In 1950 it passed to the Dundee City Museum, in Scotland.","Stimson, 1988",,,,record,,,,,,
cmacno003,,3,3,,Krabb,1582,1582,1582,,,,,,,,,,,,,no,,,,,,,,,public collection,30.38489254,-81.49801436,,"Fort Caroline National Memorial, Jacksonville, Florida, USA",https://www.nps.gov/timu/learn/historyculture/foca.htm,,,4.svg,IV,planisphere,179,11,11,,2168,0-90-0-90-0,Johannes Krabbe,JOHANNES KRABBE,,fine,German,German,date; maker name,Date: 1582. Text: FACIEBAT IOHANNES KRABBE MUNDENSIS.,,"Part of the Sir John Findlay Collection. Purchased at Sotheby's in 1962 by congressman Charles E. Bennett and offered to the Fort Caroline National Memorial, Jacksonville, Florida,","Stimson, 1988",,,,record,,,,,,
cmacno004,,4,4,,Greenwich / Valencia,pre-1588,1588,,,1588,ca. 1588,1588,1588,ca. ,,,1845,1845,,,no,,,,,,,"51.909855624459254,",-10.40655955,public collection,51.48118618,-0.005247660427,,"National Maritime Museum, Greenwich, UK",https://www.rmg.co.uk/national-maritime-museum,https://www.rmg.co.uk/collections/objects/rmgc-object-42234,,1a.svg,Ia5,"wheel type with base ballast, convex base ballast w/ concave post tops",178,17,17,,2270,unnumbered,unknown,,,good,Portuguese,Portuguese?,double circle,Double circle incised on the ballast. Decorated pin head. Three vertical lines marking the center and sides of the post.,,"Found at Valencia Island, Ireland, 1845.","Stimson, 1988",,,,multiple,,,,,,
cmacno004img1,cmacno004,,,cmacno004img1.png,"Frontal view, (c) National Maritime Museum, Greenwich, UK",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.rmg.co.uk/collections/objects/rmgc-object-42234,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,,,
cmacno005,,5,5,,Kronborg,1600,1600,1600,,,,,,,,,1918,1918,,,no,,,,,,,,,public collection,56.0391777,12.61599197,,"Sofartsmuseet, Helsingør, Denmark",https://mfs.dk/,,,2a.svg,IIa,semi-sphere with base ballast,340,18,18,,5100,0-90-0; 90-0-90,unknown,,,good,unknown,[unknown],fleurs de lis cross,Four fleurs de lis. Date: 1600.,provenience unknown,"Acquired from an antiques dealer, by the Sofartsmuseet, Denmark, in 1918, no earlier provenience; same fleurs de lis as NMM 12.","Stimson, 1988",,,,record,,,,,,
cmacno006,,6,6,,Vera Cruz / Oxford,date unknown,,,,,,,,,,,1903,1903,,,unknown,,,,,,,19.20307519,-96.1240261,public collection,51.75441406,-1.255360259,,"Museum of the History of Science, Oxford, UK",https://hsm.ox.ac.uk/,https://hsm.ox.ac.uk/collections-online#/item/hsm-catalogue-2287,,1a.svg,Ia1,"wheel type with base ballast, triangular base ballast",184,10t / 19b,10,19,1870,90-0; 0-90,unknown,,,good,Spanish,Spanish?,stars; A,Inverted heart sut-out in the ballast. Marks: * / A,,"Dredged from Vera Cruz harbor, Mexico, in 1903; sold to privates and then Museum of the History of Science, Oxford, England.","Stimson, 1988",,,,multiple,,,,,,
cmacno006img1,cmacno006,,,cmacno006img1.png,"Frontal view, (c) Museum of the History of Science, Oxford, UK",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://hsm.ox.ac.uk/collections-online#/item/hsm-catalogue-2287,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,,,
cmacno007,,7,7,,Manila / Barlow,1602,1602,1602,,,,,,,,,1917,1917,,,unknown,,,,,,,14.58514887,120.947934,public collection,38.89171713,-77.0259903,,"Smithsonian Institution, Washington D.C., USA",https://www.si.edu/,https://americanhistory.si.edu/collections/object/nmah_997159,,1a.svg,Ia5,"wheel type with base ballast, convex base ballast w/ concave post tops",176,16t / 19b,16,19,2500,90-0-90,unknown,,,good,Portuguese,Portuguese?,date,Date: 1602.,,"Dredged from Manila harbor, Philippines; currently on loan to Smithsonian Institution in Washington DC; alidade & axis pin & butterfly nut suspected not original.","Stimson, 1988",,,,multiple,,,,,,
cmacno007img1,cmacno007,,,cmacno007img1.png,"Frontal view, (c) Smithsonian Institution, Washington D.C., USA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://americanhistory.si.edu/collections/object/nmah_997159,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,,,
cmacno008,,8,8,,Champlain / Hoffman,1603,1603,1603,,,,,,,,,1867,1867,,,no,,,,,,,45.60452008,-76.83736487,public collection,40.77951116,-73.97392936,,"New York Historical, New York, USA",https://www.nyhistory.org/,,,3.svg,III,wheel type without ballast,127,3t / 10b,3,10,629,0-90-0-90-0,unknown,,,good,French,French?,stars,Tow stars: * 1603 *,,"Found in 1867 on the edge of the Green Lake, now Astrolabe Lake, Renfrew County, Ontario, Canada, probaby lost by Samuel de Champlain in 1613. May have doubled as surveying instrument which explains quadrantal graduation.","Stimson, 1988",,,,record,,,,,,
cmacno009,,9,9,,Florence,1608,1608,1608,,,,,,,,,,,,,no,,,,,,,,,public collection,43.76788088,11.25594611,,"Museo Galileo, Florence, Italy",https://www.museogalileo.it/,https://catalogue.museogalileo.it/object/MarinersAstrolabe.html,,1a.svg,Ia3,"wheel type with base ballast, convex base ballast w/ simple post tops",197,15,15,,2360,90-0-90,Francisco de Gois,GOIS,Goes,fine,Portuguese,Portugese,stars; date; maker name,Four stars: * / * 1608 * / * / GOIS,,"Owned by exiled Sir Robert Dudley (1573-1649); Possibly made by Francisco de Goes, who received a maker's license in 1587, July 13. This signature appears on NMM 42 and NMM 49.","Stimson, 1988",,,,record,,,,,,
cmacno010,,10,10,,Tenri / Madre de Deos,pre-1610,1610,,,1610,1610,1610,1610,,,,1928,1928,,,yes,Nossa Senhora da Graça,1610,1610,,"Nossa Senhora da Graça, also known as Madre de Deus, was a Portuguese carrack lost in battle near the waters of Nagasaki in 1610.",,32.737843,129.81948,public collection,34.59557117,135.8460935,,"Tenri Library, Japan",https://www.tcl.gr.jp/,,,1a.svg,Ia2,"wheel type with base ballast, concave base ballast",184,14t / 21b,14,21,2000,90-0-90,unknown,,,eroded,Portuguese,Portuguese?,quintuple dots cross,Quintuple dots cross.,,"Recovered in 1928 from the shipwreck of the Portuguese ship Madre de Deos, Nagasaki Bay, Japan.","Stimson, 1988",,,,record,,,,,,
cmacno011,,11,11,,St. Andrews University,1616,1616,1616,,,,,,,,,,,,,no,,,,,,,,,public collection,56.34185034,-2.794256674,,"St. Andrews University, Fife, Scotland, UK",https://www.st-andrews.ac.uk/collections/,https://collections.st-andrews.ac.uk/item/mariners-astrolabe/1000991,,1a.svg,Ia7,"wheel type with base ballast, ogeee base ballast",396,16,16,,7700,0-90-0-90-0,Elias Allen,ELIAS ALLEN,,fine,English,English,date; maker name,Date: 1616. Text: ELIAS ALLEN FECIT.,,Possibly acquired for St. Andrews University in 1673.,"Stimson, 1988",,,,record,,,,,,
cmacno012,,12,12,,Skokloster I,1626,1626,1626,,,,,,,,,,,,,no,,,,,,,,,public collection,59.70327971,17.62112361,,"Skokloster Castle, Sweden",https://skoklostersslott.se/,https://samlingar.shm.se/object/452FE221-B6AF-4A02-B126-42D146E68468,,1a.svg,Ia7,"wheel type with base ballast, ogeee base ballast",250,14,14,,4150,0-90-0,unknown,,,fine,Dutch,Dutch,fleurs de lis cross; date,Date: 1626. Four fleurs de lis. Text: 28 and 8 on the back.,,Skokloster Castle Collection. Belongued Field-Marshal Carl Gustav Wrangel. Has the same fleurs de lis as NMM 5.,"Stimson, 1988",,,,record,,,,,,
cmacno013,,13,13,,Skokloster II,1626,1626,1626,,,,,,,,,,,,,no,,,,,,,,,public collection,59.70327971,17.62112361,,"Skokloster Castle, Sweden",https://skoklostersslott.se/,https://samlingar.shm.se/object/5020742D-20B1-4967-AFAD-DD75041C4B60,,1b.svg,Ib,wheel type with crown ballast,253,19,19,,5000,0-90-0; 90-0-90,unknown,,,fine,Dutch,Dutch,,"Text: Symen Dirckxen Blocker, myn Rondicheyt is te Bryssen, Ick Vaer mee Om Hoogt te Wysen. Text: 10-16 and 6 on the back.",,Skokloster Castle Collection. Belongued Field-Marshal Carl Gustav Wrangel. Symen Blocker is not the maker but a later owner.,"Stimson, 1988",,,,record,,,,,,
cmacno014,,14,14,,Skokloster III,1626,1626,1626,,,,,,,,,,,,,no,,,,,,,,,public collection,59.70327971,17.62112361,,"Skokloster Castle, Sweden",https://skoklostersslott.se/,https://samlingar.shm.se/object/2AD12E92-C33E-4505-B759-FB0023767568,,1b.svg,Ib,wheel type with crown ballast,253,19,19,,5050,0-90-0; 90-0-90,unknown,,,fine,Dutch,Dutch,,Text: 10-18 and 2 on the back.,,Skokloster Castle Collection. Belongued Field-Marshal Carl Gustav Wrangel,"Stimson, 1988",,,,record,,,,,,
cmacno015,,15,15,,Batavia I,pre-1629,1629,,,1629,1629,1629,1629,,,,1968,1968,,,yes,Batavia,1629,1629,,Lost in Australia in 1629.,https://mass.cultureelerfgoed.nl/batavia,-28.47475,113.790482,public collection,-32.05699804,115.7424234,,"Western Australia Museum, Perth, Australia",https://visit.museum.wa.gov.au/,https://museum.wa.gov.au/maritime-archaeology-db/artefacts/bat3720-bronze,"no alidade, except pin",1b.svg,Ib,wheel type with crown ballast,252,19,19,,,0-90-0; 90-0-90,unknown,,,eroded,Dutch,Dutch,fleurs de lis cross; VOC stamp,Four fleurs de lis. Text: Inventiory number 10. Marks: VOC stamp on the back of the ballast.,,"Recovered from the Batavia VOC wreck, lost in 1629 at the Houtman Abrolhos, Western Australia.","Stimson, 1988",,,,record,,,,,,
cmacno016,,16,16,,Batavia II,pre-1629,1629,,,1629,1629,1629,1629,,,,1963,1963,,,yes,Batavia,1629,1629,,Lost in Australia in 1629.,https://mass.cultureelerfgoed.nl/batavia,-28.47475,113.790482,public collection,-32.05699804,115.7424234,,"Western Australia Museum, Perth, Australia",https://visit.museum.wa.gov.au/,https://museum.wa.gov.au/maritime-archaeology-db/artefacts/bat455pc-bronze,no alidade,2b.svg,IIb,semi-sphere with crown ballast,410,16,16,,,obliterated,unknown,,,eroded,Dutch,Dutch,,none apparent,,"Recovered by Max Cramer in 1963, from the Batavia VOC shipwreck, Houtman Abrolhos, Western Australia.","Stimson, 1988",,,,record,,,,,,
cmacno017,,17,17,,Caudebec,1632,1632,1632,,,,,,,,,,,,,no,,,,,,,,,destroyed,,,,,,,,1a.svg,Ia6,"wheel type with base ballast, complex base ballast",186,,,,1742,90-0-90-0-90,Nicolas le Tellier,NICOLAS LE TELLIER,,fine,French,French,stars; date,"Date: 1623. Stars: 10, around the date. Text and stars: *NICOLAS*LE*TELLIER*MA*FAICTE*A*HONNEFLEUR****",,"Destroyed in 1940, during a bombing at Caudebec-en-Caux, France. The solid one on Image 2 is a replica with a different alidade.","Stimson, 1988",,,,record,,,,,,
cmacno018,,18,18,,Coimbra University,1700 – 1800,1700,1700,,1800,,,,,,,,,,,no,,,,,,,"40.19902030855529,",-8.443843761,public collection,40.19908587,-8.443779388,,"Observatory at Coimbra University, Portugal",https://www.uc.pt/en/ogauc/,https://museudaciencia.uc.pt/inweb/ficha.aspx?id=16900&ns=216000&lang=PO&museu=3&c=ASTRONOMIA&IPR=9222,,no.svg,n/a,,508,10,10,,10170,90-0 diagonal,unknown,,,fine,Portuguese,Portuguese,,none,,"Purchased for the observatory, not intended for ship use aboard ships. Prabably dating to the 18th century.","Stimson, 1988",,,,record,,,,,,
cmacno019,,19,19,,Felix,date unknown,,,,,,,,,,,,,,,no,,,,,,,,,public collection,38.89171713,-77.0259903,,"Smithsonian Institution, Washington D.C., USA",https://www.si.edu/,,,3.svg,III,wheel type without ballast,238,5,5,,1530,90-0-90-0-90,unknown,,,good,unknown,[unknown],,none,provenience unknown,No provenience quoted; on loan to the Smithsonian Institution.,"Stimson, 1988",,,,record,,,,,,
cmacno020,,20,20,,Florence I - calculator,ca. 1600,1600,1600,ca. ,,1654,1654,1654,,,,,,,,no,,,,,,,,,public collection,43.76788088,11.25594611,,"Museo Galileo, Florence, Italy",https://www.museogalileo.it/,https://catalogue.museogalileo.it/object/NauticalCircle.html,,4.svg,IV,planisphere,727,45,45,,,0-90-0,unknown,,,fine,English,English,,Text: Sir Robert Dudley was the inventor of this instrument,,Owned by Sir Robert Dudley; probably made ~1600 by Charles Whitwell as a sophisticated calculator,"Stimson, 1988",,,,record,,,,,,
cmacno021,,21,21,,Florence II - calculator,ca. 1600,1600,1600,ca. ,,1654,1654,1654,,,,,,,,no,,,,,,,,,public collection,43.76788088,11.25594611,,"Museo Galileo, Florence, Italy",https://www.museogalileo.it/,https://catalogue.museogalileo.it/object/Astrolabe_n06.html,,4.svg,IV,planisphere,670,,,,,[unknown],unknown,,,fine,English,English,,none,,Owned by Sir Robert Dudley; probably made ~1600 by Charles Whitwell as a sophisticated calculator,"Stimson, 1988",,,,record,,,,,,
cmacno022,,22,22,,Lyme Bay,1550 – 1600,1550,1550,,1600,,,,,,,1967,1967,,,possibly,,,,,,,50.72293575,-2.894951793,public collection,42.52173096,-70.89226922,,"Peabody Essex Museum, Salem, Massachusetts, USA",https://www.pem.org/,https://www.pem.org/exhibitions/maritime-art,"no alidade, except pin",1a.svg,Ia,wheel type with base ballast,179,14t / 16b,14,16,2041,90-0-90,unknown,,,eroded,English,English?,,none apparent.,,"Found in shallow water at Lyme Bay, Dorset, UK; probably made prior to 1600. Was purchased in 1972 by the museum in Massachusetts, USA.","Stimson, 1988",,,,record,,,,,,
cmacno023,,23,23,,Shiel,1550 – 1600,1550,1550,,1600,,,,,,,1925,1925,,,possibly,,,,,,,49.42215479,-2.53001525,public collection,51.48118618,-0.005247660427,,"National Maritime Museum, Greenwich, UK",https://www.rmg.co.uk/national-maritime-museum,https://www.rmg.co.uk/collections/objects/rmgc-object-243883,no alidade,1a.svg,Ia1,"wheel type with base ballast, triangular base ballast",178,13t / 19b,13,19,1588,obliterated,unknown,,,eroded,unknown,unknown,,none apparent.,,"Found on the beach at Telegraph Bay in 1925, Alderney, UK.","Stimson, 1988",,,,record,,,,,,
cmacno024,,24,24,,Arts et Metiers I,1563,1563,1563,,,,,,,,,,,,,no,,,,,,,,,public collection,48.86651979,2.355228959,,"Musée des arts et métiers, Paris, France",https://www.arts-et-metiers.net,https://collections.arts-et-metiers.net/?queries=query=search=N°%20d'inventaire=[03864-0001-]&showtype=record,,1a.svg,Ia1,"wheel type with base ballast, triangular base ballast",98,13t / 15b,13,15,2943,0-90-0,unknown,,,fine,Spanish,Spanish,date; half suns; tower; scallops; pillars of Hercules stamp,"Date: 1563. Marks: six half suns each surounded by three batons, a tower between two batons, three scallop shells and the pillars of Hercules surmounted by a royal crown.",,From L'Academie des Sciences collection in 1824.,"Stimson, 1988",,,,record,,,,,,
cmacno025,,25,25,,Rabat / Coindreau,1648,1648,1648,,,,,,,,,1938,1938,,,possibly,,,,,,,34.02712079,-6.820803334,private,,,France,,,,,1a.svg,Ia4,"wheel type with base ballast, convex base ballast w/ simple upper post tops",161,20,20,,2530,90-0-90,Agostinho de Goes Raposo,A GOYS,Goes,good,unknown,Portuguese,date; double circle; stars; maker name,Date: 1648. Double circle incised on the ballast. Four stars around the date. Signed: A / * GOYS *.,,"Dredged from Bou-Regreg in 1938, Rabat.","Stimson, 1988",,,,record,,,,,,
cmacno026,,26,26,,Girona I,pre-1588,1588,,,1588,1588,1588,1588,,,,1968,1968,,,yes,La Girona,1588,1588,,Lost in Ireland 1588 and salvaged by treasure hunters.,https://mass.cultureelerfgoed.nl/la-girona,55.24515891,-6.536840729,public collection,54.582572,-5.935268258,,"Ulster Museum, Belfast, Ireland",https://www.ulstermuseum.org/,,no alidade,1a.svg,Ia3,"wheel type with base ballast, convex base ballast w/ simple post tops",192,14t / 17b,14,17,1797,obliterated,unknown,,,eroded,Spanish,Spanish?,,none apparent.,,"Found in 1968 on the Girona shipwreck site by R. Stenuit, at Lacada Point, Antrim Co., Ulster, Ireland.","Stimson, 1988",,,,record,,,,,,
cmacno027,,27,27,,Girona II,pre-1588,1588,,,1588,1588,1588,1588,,,,1968,1968,,,yes,La Girona,1588,1588,,Lost in Ireland 1588 and salvaged by treasure hunters.,https://mass.cultureelerfgoed.nl/la-girona,55.24515891,-6.536840729,public collection,54.582572,-5.935268258,,"Ulster Museum, Belfast, Ireland",https://www.ulstermuseum.org/,,"wheel fragment, no alidade",1a.svg,Ia2,"wheel type with base ballast, concave base ballast",176,9t / 20b,9,20,1209,obliterated,unknown,,,eroded,Spanish,Spanish?,,none apparent.,,"Found in 1968 on the Girona shipwreck site by R. Stenuit, at Lacada Point, Antrim Co., Ulster, Ireland.","Stimson, 1988",,,,record,,,,,,
cmacno028,,28,28,,Padre Island I,1550,1550,1550,,,1554,1554,1554,,,,1967,1967,,,possibly,Espiritu Santo,1545,1545,,"Spanish outbound ship lost on the coast of Texas during a hurricane in 1554, and salvaged by treasure hunters.",https://shiplib.org/index.php/shipwrecks/iberian-shipwrecks/spanish-and-the-new-world/espiritu-santo-41-wy-3-1554/,27.459298,-97.235692,public collection,27.8102534,-97.39530716,,"Corpus Christi Museum, Texas, USA",https://www.ccmuseum.com/,,no alidade,1a.svg,Ia1,"wheel type with base ballast, triangular base ballast",227,13t / 16b,13,16,2090,0-90-0,unknown,,,eroded,Spanish,Spanish?,date; ten-dot pyramid,Date: 1550. Ten dots in pyramid.,,"Recovered in 1967 off Port Mansfield, Texas, USA, by the salvage company Platoro, of Gary, Indiana. This site is believed to be that of the Espiritu Santo, lost at Padre Island in 1554, with another two ships: Santa Maria de Yciar and San Esteban.","Stimson, 1988",,,,record,,,,,,
cmacno029,,29,29,,Padre Island II,1550,1550,1550,,,1554,1554,1554,,,,1967,1967,,,possibly,Espiritu Santo,1545,1545,,"Spanish outbound ship lost on the coast of Texas during a hurricane in 1554, and salvaged by treasure hunters.",https://shiplib.org/index.php/shipwrecks/iberian-shipwrecks/spanish-and-the-new-world/espiritu-santo-41-wy-3-1554/,27.459298,-97.235692,public collection,27.8102534,-97.39530716,,"Corpus Christi Museum, Texas, USA",https://www.ccmuseum.com/,,no alidade,1a.svg,Ia1,"wheel type with base ballast, triangular base ballast",227,12t / 11b,12,11,2066,0-90-0,unknown,,,eroded,Portuguese,Portuguese,date; quintuple dots cross,Date: 1550. Small quintuple dots cross.,,"Recovered in 1967 off Port Mansfield, Texas, USA, by the salvage company Platoro, of Gary, Indiana. This site is believed to be that of the Espiritu Santo, lost at Padre Island in 1554, with another two ships: Santa Maria de Yciar and San Esteban.","Stimson, 1988",,,,record,,,,,,
cmacno030,,30,30,,Padre Island III,1545,1545,1545,,,1554,1554,1554,,,,1967,1967,,,possibly,Espiritu Santo,1545,1545,,"Spanish outbound ship lost on the coast of Texas during a hurricane in 1554, and salvaged by treasure hunters.",https://shiplib.org/index.php/shipwrecks/iberian-shipwrecks/spanish-and-the-new-world/espiritu-santo-41-wy-3-1554/,27.459298,-97.235692,public collection,27.8102534,-97.39530716,,"Corpus Christi Museum, Texas, USA",https://www.ccmuseum.com/,,,1a.svg,Ia1,"wheel type with base ballast, triangular base ballast",245,15,15,,3969,0-90-0,unknown,,,complete,Portuguese,Portuguese?,date; quintuple dots cross,Date: 154[5]. Quintuple dots cross.,,"Recovered in 1967 off Port Mansfield, Texas, USA, by the salvage company Platoro, of Gary, Indiana. This site is believed to be that of the Espiritu Santo, lost at Padre Island in 1554, with another two ships: Santa Maria de Yciar and San Esteban.","Stimson, 1988",,,,record,,,,,,
cmacno031,,31,31,,Bermuda,pre-1580,1580,,,1580,ca. 1580,1580,1580,ca. ,,,1968,1968,,,unknown,,,,,,,,,private,,,Bermuda,,,,no alidade,1a.svg,Ia1,"wheel type with base ballast, triangular base ballast",175,10t / 19b,10,19,1786,obliterated,unknown,,,eroded,Spanish,Spanish?,,none apparent.,,"Recovered w/ Portuguese cruzados dating to 1521-1580, and Spanish gold bars. It was found by a treasure hunter named Harry Cox.","Stimson, 1988",,,,record,,,,,,
cmacno032,,32,32,,Mewstone,ca. 1600,1600,1600,ca. ,,,,,,,,1970,1970,,,unknown,,,,,,,50.30655288,-4.102531172,public collection,51.48118618,-0.005247660427,,"National Maritime Museum, Greenwich, UK",https://www.rmg.co.uk/national-maritime-museum,https://www.rmg.co.uk/collections/objects/rmgc-object-42241,no alidade,1a.svg,Ia8,"wheel type with base ballast, ogee base ballast w/ molded posts",180,11t / 23b,11,23,2495,obliterated,unknown,,,eroded,unknown,[unknown],,none apparent.,,"Found in 1970 on sea bed near the Great Mewstone rocks, Wembury Bay, Devon, by Wilfred T. Jenkins BSAC. It is on loan in the English National maritime Museum with the ref. #NAV0029.","Stimson, 1988",,,,record,,,,,,
cmacno033,,33,33,,Arts et Metiers II,1550 – 1600,1550,1550,,1600,,,,,,,,,,,no,,,,,,,,,public collection,48.86651979,2.355228959,,"Musée des arts et métiers, Paris, France",https://www.arts-et-metiers.net,,,no.svg,n/a,,153,20,20,,2560,0-90 / 90-0,unknown,,,fine,French,French?,,none,,"Probably late 16th century. Recorded in 1906; the record mentions a previous 1849 list where this astrolabe was entered together with NMM24, which is dated to 1563.","Stimson, 1988",,,,record,,,,,,
cmacno034,,34,34,,Atocha I,pre-1622,1622,,,1622,1622,1622,1622,,,,1973,1973,,,yes,Nuestra Señora de Atocha,1622,1622,,"A Spanish ship lost in Florida in 1622, on its way to  Spain, and salvaged by treasure hunters.",https://mass.cultureelerfgoed.nl/the-atocha,24.279333,-82.844333,public collection,24.55821831,-81.80647258,,"Mel Fisher Maritime Museum, Key West, FL, USA",https://www.melfisher.org/,https://melfisher.info/Detail/objects/2192,,1a.svg,Ia2,"wheel type with base ballast, concave base ballast",185,14t / 28b,14,28,2840,90-0-90,unknown,,,good,Portuguese,Portuguese,quintuple dots cross,Quintuple dots cross.,,"Recovered in 1973 by American treasure hunter Mel Fisher off of the Marquesas Keys. Listed as belonging to the Atocha shipwreck collection.","Stimson, 1988",,,,record,,,,,,
cmacno035,,35,35,,Colombian,pre-1702,1702,,,1702,1702?,1702,1702,,,?,1974,1974,,,unknown,,,,,,,,,"unknown, auctioned",,,"auction - Sotheby's, USA",,,,,1a.svg,Ia1,"wheel type with base ballast, triangular base ballast",208,10,10,,1414,obliterated,unknown,,,eroded,Spanish,Spanish?,,none apparent.,,"said to have been recovered off the Colombian coast in 1974, from a shipwreck believed to have sunk in 1702. It was part of The Time Museum colelction, Rockford, Illinois, until 204. The colelction was sold by Sotheby's.","Stimson, 1988",,,,record,,,,,,
cmacno036,,36,36,,Batavia III,pre-1629,1629,,,1629,1629,1629,1629,,,,1973,1973,,,yes,Batavia,1629,1629,,Lost in Australia in 1629.,https://mass.cultureelerfgoed.nl/batavia,-28.47475,113.790482,public collection,-32.05699804,115.7424234,,"Western Australia Museum, Perth, Australia",https://visit.museum.wa.gov.au/,https://museum.wa.gov.au/maritime-archaeology-db/artefacts/bat3400-bronze,no alidade,1a.svg,Ia5,"wheel type with base ballast, convex base ballast w/ concave post tops",169,26,26,,,obliterated,unknown,,,eroded,Portuguese,Portuguese?,,none apparent.,,"Recovered in 1973 by Jeremy Green from the Batavia VOC wreck site. The ship was lost in 1629 at the Houtman Abrolhos, Western Australia.","Stimson, 1988",,,,record,,,,,,
cmacno037,,37,37,,Batavia IV,pre-1629,1629,,,1629,1629,1629,1629,,,,1975,1975,,,yes,Batavia,1629,1629,,Lost in Australia in 1629.,https://mass.cultureelerfgoed.nl/batavia,-28.47475,113.790482,public collection,-32.05699804,115.7424234,,"Western Australia Museum, Perth, Australia",https://visit.museum.wa.gov.au/,https://museum.wa.gov.au/maritime-archaeology-db/artefacts/bat394-bronze,no alidade,1b.svg,Ib,wheel type with crown ballast,253,18,18,,,0-90-0; 90-0-90,unknown,,,incomplete,Portuguese,Dutch,fleurs de lis cross; VOC stamp; X,Date: 1628. Four fleurs de lis. Marks: Two VOC marks and an X on the back.,,"Recovered in 1975 by Jeremy Green from the Batavia VOC wreck site. The ship was lost in 1629 at the Houtman Abrolhos, Western Australia.","Stimson, 1988",,,,record,,,,,,
